"location_id","cp","direccion","horario","localidad","provincia","municipio","idmunicipio","idprovincia","idccaa","biodiesel","bioetanol","remision","gas_natural_comprimido","gas_natural_licuado","glp","gasoleo_a","gasoleo_b","gasoleo_premium","gasolina_95_e10","gasolina_95_e5","gasolina_95_e5_premium","gasolina_98_e10","gasolina_98_e5","hidrogeno"
"4375","02250","AVENIDA CASTILLA LA MANCHA, 26","L-D: 07:00-22:00","ABENGIBRE","ALBACETE","Abengibre","52","02","07",,,"dm",,,,"1.399","0.929",,,"1.449",,,,
"5122","02152","CR CM-332, 46,4","L-D: 7:00-23:00","ALATOZ","ALBACETE","Alatoz","53","02","07",,,"dm",,,,"1.559",,"1.619",,"1.609",,,,
"10765","02001","AVENIDA 1º DE MAYO, S/N","L-S: 08:00-22:00; D: 09:00-21:00","ALBACETE","ALBACETE","Albacete","54","02","07",,,"dm",,,,"1.409",,"1.449",,"1.499",,,"1.609",
"12054","02001","CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5","L-D: 06:00-22:00","ALBACETE","ALBACETE","Albacete","54","02","07",,,"OM",,,,"1.469",,"1.569",,"1.529",,,"1.679",
"13933","02001","CALLE FEDERICO GARCIA LORCA, 1","L-D: 24H","ALBACETE","ALBACETE","Albacete","54","02","07",,,"dm",,,,"1.359",,,,"1.399",,,,
"4438","02001","CALLE FEDERICO GARCIA LORCA, 5","L-S: 05:00-23:00","ALBACETE","ALBACETE","Albacete","54","02","07",,,"dm",,,,"1.465",,,,,,,,
"16011","02005","CALLE CONSTANTINO ROMERO, S/N","L-D: 24H","ALBACETE","ALBACETE","Albacete","54","02","07",,,"dm",,,,"1.359",,,,"1.399",,,,
"5195","02005","CL PASEO DE LA CUBA, 15","L-D: 06:00-22:00","ALBACETE","ALBACETE","Albacete","54","02","07",,,"OM",,,"0.929","1.469",,,,"1.529",,,"1.639",
"14123","02005","PASEO CUBA (LA), 36","L-D: 06:00-22:00","ALBACETE","ALBACETE","Albacete","54","02","07",,,"OM",,,"0.974","1.499",,"1.609",,"1.546",,,"1.677",
"15000","02005","AVENIDA ESCRITOR RODRIGO RUBIO, 3","L-S: 09:00-21:30","ALBACETE","ALBACETE","Albacete","54","02","07",,,"dm",,,"0.838","1.359",,"1.439",,"1.399",,,,
